"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"SPR","2","SHL","100","兆康","Siu Hong",15.00
"SPR","2","CHC","120","青松","Ching Chung",16.00
"SPR","2","KIS","130","建生","Kin Sang",17.00
"SPR","2","TNK","140","田景","Tin King",18.00
"SPR","2","LEK","150","良景","Leung King",19.00
"SPR","2","SAW","160","新圍","San Wai",20.00
"SPR","2","THN","212","大興(北)","Tai Hing (North)",21.00
"SPR","2","THS","220","大興(南)","Tai Hing (South)",22.00
"SPR","2","NGW","230","銀圍","Ngan Wai",23.00
"SPR","2","CYB","075","蔡意橋","Choy Yee Bridge",24.00
"SPR","2","HOT","070","河田","Ho Tin",25.00
"SPR","2","TML","295","屯門","Tuen Mun",26.00
"SPR","2","TOC","280","市中心","Town Centre",27.00
"SPR","2","ONT","270","安定","On Ting",28.00
"SPR","2","SIL","265","兆麟","Siu Lun",29.00
"SPR","2","GOG","260","豐景園","Goodview Garden",30.00
"SPR","2","TSP","250","屯門泳池","Tuen Mun Swimming Pool",31.00
"SPR","2","SHE","240","兆禧","Siu Hei",32.00
"SPR","2","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",33.00
